KPI_Name,Source,Consignee,Consignee_Name,Parent_Name,Last Estimated Ocean Arrival Date,Country_Name,Last Estimated Ocean Arrival Location,Last Actual Ocean Arrival Date,Carrier Release Date (UTC),CBL Number,Carrier SCAC,Week,OnTime/Delay_ Status,CBL_Number_Count,On-Time_Count,Delay_Count,On_Time_Percentage
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU247776684,MAEU,202508,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU246989765,MAEU,202508,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,28-02-2025,Netherlands,NLROT,28-02-2025,,MAEU248234186,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,18-02-2025,Netherlands,NLROT,18-02-2025,,MAEU248494007,MAEU,202508,Delay,2,,2.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,04-02-2025,France,FRFSM,04-02-2025,,MAEU273590917,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,15-02-2025,Netherlands,NLROT,15-02-2025,,MAEU273591408,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,09-02-2025,Netherlands,NLROT,09-02-2025,,MAEU273591201,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,USKITCHE54HQ,KITCHENAID GLOBAL LLC,WHIRLPOOL CORP,04-01-2025,United States,USNYC,05-01-2025,,HLCUSHA2409BTXZ5,HLCU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,USKITCHE54HQ,KITCHENAID GLOBAL LLC,WHIRLPOOL CORP,01-02-2025,United States,USNYC,03-02-2025,,HLCUSZX2411DCUV8,HLCU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,12-02-2025,Denmark,DKAAR,12-02-2025,,MAEU246949116,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,19-02-2025,Denmark,DKAAR,19-02-2025,,MAEU247296058,MAEU,202508,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,12-02-2025,Denmark,DKAAR,12-02-2025,,MAEU247564806,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,29-01-2025,Denmark,DKAAR,29-01-2025,,MAEU246852948,MAEU,202505,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU247832452,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,22-01-2025,Denmark,DKAAR,22-01-2025,,MAEU245939685,MAEU,202504,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU248437097,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,29-12-2024,Netherlands,NLROT,29-12-2024,,MAEU246379817,MAEU,202501,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,NLHOGEW001HQ,HOGEWONING BV,HOGEWONING BV,09-02-2025,Netherlands,NLROT,09-02-2025,,MAEU273591209,MAEU,202507,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,27-12-2024,France,FRFSM,27-12-2024,,MAEU244724896,MAEU,202452,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,08-01-2025,Denmark,DKAAR,08-01-2025,,MAEU245939241,MAEU,202502,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,25-02-2025,France,FRFSM,25-02-2025,,MAEU247768259,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU248129952,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,22-01-2025,Denmark,DKAAR,22-01-2025,,MAEU246252464,MAEU,202504,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU246988914,MAEU,202509,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,15-01-2025,Denmark,DKAAR,15-01-2025,,MAEU246947743,MAEU,202503,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,05-02-2025,Denmark,DKAAR,05-02-2025,,MAEU246697007,MAEU,202506,Delay,1,,1.0,
Carrier_Release_Timeliness,SCP,DKSCHOUCOMHQ,SCHOU COMPANY A/S,JYSK,26-02-2025,Denmark,DKAAR,26-02-2025,,MAEU248333956,MAEU,202509,Delay,1,,1.0,
